Minimum PWM Length:	10
Minimum PWM Information:	0.500000
Correlation with SVM weights:	0.394170
Cluster ID	Motif ID	Motif Name	Regression Weight	Z-score	Importance
6	1525	MA0491.2 JUND	0.587	6.459	0.606
6	1520	MA1132.1 JUN::JUNB	0.587	6.459	0.606
6	1523	MA0490.2 JUNB	0.587	6.459	0.606
6	1616	MA0841.1 NFE2	0.587	6.459	0.606
6	660	V_AP1_01	0.587	6.459	0.606
6	701	V_AP1_Q6	0.587	6.459	0.606
6	472	V_BACH2_01	0.587	6.459	0.606
6	79	V_BACH1_01	0.587	6.459	0.606
6	1251	MA1101.2 BACH2	0.587	6.459	0.606
6	594	V_AP1_Q2	0.587	6.459	0.606
6	607	V_AP1_Q4	0.587	6.459	0.606
6	650	V_AP1FJ_Q2	0.587	6.459	0.606
7	955	bZIP:IRF	0.410	4.963	0.124
7	1173	IRF:BATF	0.410	4.963	0.124
8	1353	MA0764.2 ETV4	0.172	4.682	0.026
9	825	EBF1	0.348	4.601	0.258
9	1060	EBF	0.348	4.601	0.258
9	1144	EBF1	0.348	4.601	0.258
9	1319	MA0154.4 EBF1	0.348	4.601	0.258
10	993	IRF4	0.868	4.295	0.157
11	1513	MA0653.1 IRF9	0.011	4.274	0.002
11	1512	MA0652.1 IRF8	0.011	4.274	0.002
11	1508	MA1419.1 IRF4	0.011	4.274	0.002
11	1509	MA1420.1 IRF5	0.011	4.274	0.002
12	1723	MA1115.1 POU5F1	0.483	4.119	0.187
12	1081	Oct2	0.483	4.119	0.187
12	1714	MA0507.1 POU2F2	0.483	4.119	0.187
12	1715	MA0627.2 POU2F3	0.483	4.119	0.187
12	95	V_OCT_C	0.483	4.119	0.187
12	1076	Oct4	0.483	4.119	0.187
12	170	Pou2f3_3986.2	0.483	4.119	0.187
12	215	Pou2f2_3748.1	0.483	4.119	0.187
12	851	POU2F2	0.483	4.119	0.187
12	68	V_OCT1_01	0.483	4.119	0.187
12	1713	MA0785.1 POU2F1	0.483	4.119	0.187
12	1716	MA0786.1 POU3F1	0.483	4.119	0.187
12	1717	MA0787.1 POU3F2	0.483	4.119	0.187
12	1170	Brn1	0.483	4.119	0.187
12	1219	Oct6	0.483	4.119	0.187
12	1712	MA0784.1 POU1F1	0.483	4.119	0.187
12	1718	MA0788.1 POU3F3	0.483	4.119	0.187
13	942	ETS:RUNX	0.130	3.010	0.066
14	919	Mef2a	0.258	2.327	0.035
14	84	V_MEF2_02	0.258	2.327	0.035
14	1567	MA0052.4 MEF2A	0.258	2.327	0.035
14	49	V_MEF2_03	0.258	2.327	0.035
14	1090	Mef2c	0.258	2.327	0.035
14	1210	Mef2d	0.258	2.327	0.035
14	1203	Mef2b	0.258	2.327	0.035
14	841	MEF2	0.258	2.327	0.035
14	120	MA0052.1 MEF2A	0.258	2.327	0.035
14	1570	MA0773.1 MEF2D	0.258	2.327	0.035
14	1568	MA0660.1 MEF2B	0.258	2.327	0.035
14	51	V_RSRFC4_01	0.258	2.327	0.035
14	1569	MA0497.1 MEF2C	0.258	2.327	0.035
15	1074	T1ISRE	0.042	2.126	0.013
16	86	V_ELK1_01	0.176	2.099	0.052
17	44	V_IRF1_01	0.045	2.064	0.008
17	24	V_IRF2_01	0.045	2.064	0.008
18	9	V_MEF2_04	0.025	1.927	0.007
19	1461	MA0046.2 HNF1A	0.060	1.913	0.020
19	1462	MA0153.2 HNF1B	0.060	1.913	0.020
20	960	Pax8	0.397	1.906	0.148
20	1147	PAX5	0.397	1.906	0.148
21	1776	MA0684.2 RUNX3	0.355	1.867	0.076
22	1906	MA0526.3 USF2	0.169	1.841	0.064
22	1905	MA0093.3 USF1	0.169	1.841	0.064
22	898	MITF	0.169	1.841	0.064
22	840	MAX	0.169	1.841	0.064
22	246	V_MAX_01	0.169	1.841	0.064
22	695	V_USF_02	0.169	1.841	0.064
22	842	MYC	0.169	1.841	0.064
22	1887	MA0692.1 TFEB	0.169	1.841	0.064
22	1599	MA0104.4 MYCN	0.169	1.841	0.064
22	369	V_ARNT_01	0.169	1.841	0.064
22	1579	MA0620.3 MITF	0.169	1.841	0.064
22	911	Usf2	0.169	1.841	0.064
22	397	V_USF_01	0.169	1.841	0.064
22	1598	MA0147.3 MYC	0.169	1.841	0.064
22	1042	USF1	0.169	1.841	0.064
22	402	MA0058.1 MAX	0.169	1.841	0.064
22	882	USF	0.169	1.841	0.064
22	1584	MA0664.1 MLXIPL	0.169	1.841	0.064
22	550	MA0104.2 Mycn	0.169	1.841	0.064
22	1151	NPAS2	0.169	1.841	0.064
22	1268	MA0636.1 BHLHE41	0.169	1.841	0.064
22	545	MA0147.1 Myc	0.169	1.841	0.064
22	1022	c-Myc	0.169	1.841	0.064
22	580	V_NMYC_01	0.169	1.841	0.064
22	1888	MA0871.2 TFEC	0.169	1.841	0.064
22	1006	n-Myc	0.169	1.841	0.064
22	158	V_ARNT_02	0.169	1.841	0.064
22	934	E-box	0.169	1.841	0.064
22	1585	MA0825.1 MNT	0.169	1.841	0.064
22	1267	MA0464.2 BHLHE40	0.169	1.841	0.064
22	1563	MA0058.3 MAX	0.169	1.841	0.064
22	227	MA0059.1 MYC::MAX	0.169	1.841	0.064
22	1564	MA0059.1 MAX::MYC	0.169	1.841	0.064
22	1235	MA0603.1 Arntl	0.169	1.841	0.064
22	263	Bhlhb2_primary	0.169	1.841	0.064
22	1234	MA1464.1 ARNT2	0.169	1.841	0.064
22	357	V_MYCMAX_03	0.169	1.841	0.064
22	901	Max	0.169	1.841	0.064
22	1027	bHLHE40	0.169	1.841	0.064
22	1646	MA0626.1 Npas2	0.169	1.841	0.064
22	817	BHLHE40	0.169	1.841	0.064
22	540	V_MYCMAX_02	0.169	1.841	0.064
22	1798	MA1560.1 SOHLH2	0.169	1.841	0.064
22	452	Max_primary	0.169	1.841	0.064
22	1449	MA0823.1 HEY1	0.169	1.841	0.064
22	121	V_MYCMAX_01	0.169	1.841	0.064
22	1830	MA0828.1 SREBF2(var.2)	0.169	1.841	0.064
22	232	V_SREBP1_01	0.169	1.841	0.064
22	1582	MA0663.1 MLX	0.169	1.841	0.064
22	1450	MA0649.1 HEY2	0.169	1.841	0.064
22	1443	MA1099.2 HES1	0.169	1.841	0.064
22	1444	MA0616.2 HES2	0.169	1.841	0.064
22	1446	MA1493.1 HES6	0.169	1.841	0.064
23	283	V_E47_02	0.159	1.667	0.045
24	969	Sp1	0.111	1.615	0.061
24	1533	MA1513.1 KLF15	0.111	1.615	0.061
24	516	V_GC_01	0.111	1.615	0.061
24	499	V_SP1_Q6	0.111	1.615	0.061
24	860	SP1	0.111	1.615	0.061
25	915	X-box	0.035	1.585	0.005
25	994	RFX	0.035	1.585	0.005
25	1077	Rfx2	0.035	1.585	0.005
25	1764	MA0799.1 RFX4	0.035	1.585	0.005
25	951	Rfx1	0.035	1.585	0.005
25	1765	MA0510.2 RFX5	0.035	1.585	0.005
25	1762	MA0600.2 RFX2	0.035	1.585	0.005
26	893	Egr2	0.141	1.524	0.027
26	1325	MA0733.1 EGR4	0.141	1.524	0.027
26	1322	MA0162.4 EGR1	0.141	1.524	0.027
26	208	MA0162.1 Egr1	0.141	1.524	0.027
26	1323	MA0472.2 EGR2	0.141	1.524	0.027
26	1148	Egr1	0.141	1.524	0.027
26	62	V_EGR3_01	0.141	1.524	0.027
26	1324	MA0732.1 EGR3	0.141	1.524	0.027
26	75	V_NGFIC_01	0.141	1.524	0.027
26	83	V_EGR2_01	0.141	1.524	0.027
26	72	V_EGR1_01	0.141	1.524	0.027
27	115	MA0055.1 Myf	0.150	1.524	0.068
28	1950	MA1630.1 Znf281	0.094	1.513	0.030
29	693	V_IK2_01	-1.568	-1.429	0.643
30	875	UA3	-0.307	-1.551	0.084
