Minimum PWM Length:	10
Minimum PWM Information:	0.500000
Correlation with SVM weights:	0.665239
Cluster ID	Motif ID	Motif Name	Regression Weight	Z-score	Importance
16	1151	NPAS2	0.195	1.727	0.070
16	1235	MA0603.1 Arntl	0.195	1.727	0.070
16	232	V_SREBP1_01	0.195	1.727	0.070
16	1268	MA0636.1 BHLHE41	0.195	1.727	0.070
16	369	V_ARNT_01	0.195	1.727	0.070
16	1830	MA0828.1 SREBF2(var.2)	0.195	1.727	0.070
16	402	MA0058.1 MAX	0.195	1.727	0.070
16	840	MAX	0.195	1.727	0.070
16	1027	bHLHE40	0.195	1.727	0.070
16	817	BHLHE40	0.195	1.727	0.070
16	1582	MA0663.1 MLX	0.195	1.727	0.070
16	246	V_MAX_01	0.195	1.727	0.070
16	357	V_MYCMAX_03	0.195	1.727	0.070
16	1267	MA0464.2 BHLHE40	0.195	1.727	0.070
16	540	V_MYCMAX_02	0.195	1.727	0.070
16	452	Max_primary	0.195	1.727	0.070
16	1585	MA0825.1 MNT	0.195	1.727	0.070
16	1646	MA0626.1 Npas2	0.195	1.727	0.070
16	1006	n-Myc	0.195	1.727	0.070
16	1234	MA1464.1 ARNT2	0.195	1.727	0.070
16	842	MYC	0.195	1.727	0.070
16	580	V_NMYC_01	0.195	1.727	0.070
16	1598	MA0147.3 MYC	0.195	1.727	0.070
16	1022	c-Myc	0.195	1.727	0.070
16	227	MA0059.1 MYC::MAX	0.195	1.727	0.070
16	1564	MA0059.1 MAX::MYC	0.195	1.727	0.070
16	1563	MA0058.3 MAX	0.195	1.727	0.070
16	1599	MA0104.4 MYCN	0.195	1.727	0.070
16	121	V_MYCMAX_01	0.195	1.727	0.070
16	545	MA0147.1 Myc	0.195	1.727	0.070
16	550	MA0104.2 Mycn	0.195	1.727	0.070
16	1798	MA1560.1 SOHLH2	0.195	1.727	0.070
17	1874	MA0872.1 TFAP2A(var.3)	0.035	1.653	0.002
17	1880	MA0815.1 TFAP2C(var.3)	0.035	1.653	0.002
17	1877	MA0813.1 TFAP2B(var.3)	0.035	1.653	0.002
18	1859	MA0832.1 Tcf21	0.073	1.564	0.047
18	1588	MA0665.1 MSC	0.073	1.564	0.047
18	1601	MA0667.1 MYF6	0.073	1.564	0.047
19	1697	MA0781.1 PAX9	0.115	1.479	0.058
19	1689	MA0779.1 PAX1	0.115	1.479	0.058
20	9	V_MEF2_04	0.061	1.357	0.030
21	1950	MA1630.1 Znf281	0.050	1.263	0.006
22	1288	MA0609.2 CREM	0.112	1.179	0.027
22	1381	MA1139.1 FOSL2::JUNB(var.2)	0.112	1.179	0.027
22	162	Jundm2_primary	0.112	1.179	0.027
22	1383	MA1145.1 FOSL2::JUND(var.2)	0.112	1.179	0.027
22	1242	MA0605.2 ATF3	0.112	1.179	0.027
22	1518	MA0656.1 JDP2(var.2)	0.112	1.179	0.027
22	1365	MA1126.1 FOS::JUN(var.2)	0.112	1.179	0.027
22	1287	MA0840.1 Creb5	0.112	1.179	0.027
22	1368	MA1127.1 FOSB::JUN	0.112	1.179	0.027
22	1379	MA1131.1 FOSL2::JUN(var.2)	0.112	1.179	0.027
22	883	v-JUN	0.112	1.179	0.027
22	1241	MA1632.1 ATF2	0.112	1.179	0.027
22	1035	Atf7	0.112	1.179	0.027
22	1003	Atf1	0.112	1.179	0.027
22	1526	MA0492.1 JUND(var.2)	0.112	1.179	0.027
22	961	JunD	0.112	1.179	0.027
22	1245	MA0834.1 ATF7	0.112	1.179	0.027
22	1376	MA1143.1 FOSL1::JUND(var.2)	0.112	1.179	0.027
22	203	Atf1_primary	0.112	1.179	0.027
22	920	c-Jun-CRE	0.112	1.179	0.027
22	897	Atf2	0.112	1.179	0.027
22	1521	MA1133.1 JUN::JUNB(var.2)	0.112	1.179	0.027
22	1281	MA0018.4 CREB1	0.112	1.179	0.027
22	1524	MA1140.2 JUNB(var.2)	0.112	1.179	0.027
22	1055	CRE	0.112	1.179	0.027
22	1373	MA1129.1 FOSL1::JUN(var.2)	0.112	1.179	0.027
22	1370	MA1136.1 FOSB::JUNB(var.2)	0.112	1.179	0.027
22	356	V_CREB_Q2	0.112	1.179	0.027
22	1519	MA0488.1 JUN	0.112	1.179	0.027
22	363	V_CREB_Q4	0.112	1.179	0.027
22	1286	MA1475.1 CREB3L4(var.2)	0.112	1.179	0.027
22	29	V_VJUN_01	0.112	1.179	0.027
22	151	V_CREBP1_Q2	0.112	1.179	0.027
23	145	V_POU6F1_01	-0.152	-1.227	0.054
24	1922	MA1579.1 ZBTB26	-0.261	-1.331	0.061
25	3	V_LUN1_01	-0.010	-1.350	0.001
26	176	Zfp410_primary	-0.144	-1.362	0.041
27	1703	MA0681.2 PHOX2B	-0.198	-1.430	0.118
28	599	V_NFAT_Q6	-0.638	-1.652	0.183
29	693	V_IK2_01	-1.476	-1.716	0.437
30	1150	TEAD	-0.643	-3.258	0.349
